Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun);Sampah Terkelola Tahunan (ton/tahun)
2022;Jawa Barat;Kota Sukabumi;65.828;65.734
2022;Jawa Barat;Kota Bandung;581.877;563.151
2022;Jawa Barat;Kota Bekasi;668.179;394.504
2022;Jawa Barat;Kota Cimahi;100.542;77.504
2022;Jawa Barat;Kota Tasikmalaya;116.476;95.244
2022;Jawa Barat;Kota Banjar;31.268;30.362
2022;Jawa Tengah;Kab. Cilacap;347.056;272.933
2022;Jawa Tengah;Kab. Banyumas;195.964;194.611
2022;Jawa Tengah;Kab. Purbalingga;186.121;43.487
2022;Jawa Tengah;Kab. Kebumen;169.013;146.507
2022;Jawa Tengah;Kab. Purworejo;105.694;51.910
2022;Jawa Tengah;Kab. Wonosobo;133.683;54.963
2022;Jawa Tengah;Kab. Boyolali;106.781;60.486
2022;Jawa Tengah;Kab. Klaten;234.703;130.599
2022;Jawa Tengah;Kab. Sukoharjo;132.101;100.827
2022;Jawa Tengah;Kab. Wonogiri;126.918;65.265
2022;Jawa Tengah;Kab. Karanganyar;137.066;37.771
2022;Jawa Tengah;Kab. Sragen;215.417;151.056
2022;Jawa Tengah;Kab. Grobogan;310.022;161.548
2022;Jawa Tengah;Kab. Blora;139.812;139.765
2022;Jawa Tengah;Kab. Rembang;92.026;28.738
2022;Jawa Tengah;Kab. Kudus;163.579;106.248
2022;Jawa Tengah;Kab. Jepara;150.516;81.152
2022;Jawa Tengah;Kab. Demak;263.666;34.651
2022;Jawa Tengah;Kab. Semarang;193.422;101.019
2022;Jawa Tengah;Kab. Temanggung;146.050;86.447
2022;Jawa Tengah;Kab. Kendal;149.653;60.451
2022;Jawa Tengah;Kab. Batang;207.055;50.577
2022;Jawa Tengah;Kab. Pekalongan;142.570;66.438
2022;Jawa Tengah;Kab. Pemalang;216.695;185.018
2022;Jawa Tengah;Kab. Tegal;306.466;178.471
2022;Jawa Tengah;Kab. Brebes;366.938;50.964
2022;Jawa Tengah;Kota Magelang;29.385;27.777
2022;Jawa Tengah;Kota Surakarta;137.345;135.255
2022;Jawa Tengah;Kota Salatiga;41.668;40.185
2022;Jawa Tengah;Kota Semarang;431.085;427.038
2022;Jawa Tengah;Kota Tegal;79.366;78.481
2022;D.I. Yogyakarta;Kab. Kulon Progo;64.731;29.293
2022;D.I. Yogyakarta;Kab. Gunungkidul;137.872;47.766
2022;D.I. Yogyakarta;Kota Yogyakarta;110.643;110.084
2022;Jawa Timur;Kab. Pacitan;105.000;26.467
2022;Jawa Timur;Kab. Ponorogo;139.553;114.917
2022;Jawa Timur;Kab. Trenggalek;111.499;75.826
2022;Jawa Timur;Kab. Tulungagung;202.149;89.824
2022;Jawa Timur;Kab. Kediri;240.082;62.728
2022;Jawa Timur;Kab. Malang;350.614;179.740
2022;Jawa Timur;Kab. Lumajang;191.446;102.811
2022;Jawa Timur;Kab. Jember;370.362;104.025
2022;Jawa Timur;Kab. Banyuwangi;297.078;86.538
2022;Jawa Timur;Kab. Situbondo;93.892;74.020
2022;Jawa Timur;Kab. Mojokerto;168.323;69.315
2022;Jawa Timur;Kab. Jombang;193.583;79.999
2022;Jawa Timur;Kab. Nganjuk;162.108;65.412
2022;Jawa Timur;Kab. Magetan;100.648;47.822
2022;Jawa Timur;Kab. Ngawi;130.696;54.503
2022;Jawa Timur;Kab. Bojonegoro;137.271;47.701
2022;Jawa Timur;Kab. Tuban;184.439;102.819
2022;Jawa Timur;Kab. Gresik;142.835;109.049
2022;Jawa Timur;Kab. Sampang;169.511;16.888
2022;Jawa Timur;Kab. Pamekasan;101.141;57.466
2022;Jawa Timur;Kab. Sumenep;132.198;25.317
2022;Jawa Timur;Kota Kediri;65.184;64.052
2022;Jawa Timur;Kota Blitar;27.733;27.104
2022;Jawa Timur;Kota Malang;279.148;273.817
2022;Jawa Timur;Kota Probolinggo;35.465;28.851
2022;Jawa Timur;Kota Pasuruan;53.297;52.255
2022;Jawa Timur;Kota Mojokerto;24.420;24.167
2022;Jawa Timur;Kota Madiun;44.220;43.822
2022;Jawa Timur;Kota Surabaya;651.043;646.825
2022;Jawa Timur;Kota Batu;49.359;48.261
2022;Banten;Kab. Lebak;215.885;49.749
2022;Banten;Kab. Tangerang;841.498;510.449
2022;Banten;Kab. Serang;414.582;30.900
2022;Banten;Kota Tangerang;504.258;503.978
2022;Banten;Kota Cilegon;83.169;69.239
2022;Banten;Kota Serang;213.464;121.157
2022;Banten;Kota Tangerang Selatan;355.009;353.297
2022;Bali;Kab. Jembrana;59.473;35.313
2022;Bali;Kab. Badung;119.475;111.510
2022;Bali;Kab. Gianyar;196.699;174.963
2022;Bali;Kab. Klungkung;37.644;26.544
2022;Bali;Kab. Bangli;40.836;28.968
2022;Bali;Kab. Karangasem;113.712;75.789
2022;Bali;Kab. Buleleng;143.284;81.156
